sensor_id,kind,unit,description
buzzer,power,,
fanGalvo,power,,
io-en,power,,
laser,power,,
laserSafety,power,,
lights,lights.count,,
lights,lights.enabled,,
positions,position.r,,
positions,position.x,,
positions,position.y,,
positions,position.z1,,
positions,position.z2,,
powderBed,temp.average,,
powderBed,temp.current,,
powderBed,temp.target,,
powderChamber1,temp.average,,
powderChamber1,temp.current,,
powderChamber1,temp.target,,
powderChamber2,temp.average,,
powderChamber2,temp.current,,
powderChamber2,temp.target,,
powderChamber3,temp.average,,
powderChamber3,temp.current,,
powderChamber3,temp.target,,
powderChamber4,temp.average,,
powderChamber4,temp.current,,
powderChamber4,temp.target,,
powerman,power.current,,
powerman,power.max,,
powerman,power.required,,
printBed,temp.average,,
printBed,temp.current,,
printBed,temp.target,,
printChamber1,temp.average,,
printChamber1,temp.current,,
printChamber1,temp.target,,
printChamber2,temp.average,,
printChamber2,temp.current,,
printChamber2,temp.target,,
printChamber3,temp.average,,
printChamber3,temp.current,,
printChamber3,temp.target,,
printChamber4,temp.average,,
printChamber4,temp.current,,
printChamber4,temp.target,,
quadrant1,temp.average,,
quadrant1,temp.current,,
quadrant2,temp.average,,
quadrant2,temp.current,,
quadrant3,temp.average,,
quadrant3,temp.current,,
quadrant4,temp.average,,
quadrant4,temp.current,,
surface,temp.average,,
surface,temp.current,,
surfaceAvg,temp.average,,
surfaceAvg,temp.current,,
surfaceMax,temp.average,,
surfaceMax,temp.current,,
surfaceMin,temp.average,,
surfaceMin,temp.current,,
testTemp1,temp.average,,
testTemp1,temp.current,,
wd-en,power,,
wd-in,power,,
